Id	Code	PD code	Accepted name	Genus
424	QUEPED	Quercus_pedunculiflora	Quercus pedunculiflora?K.Koch	Quercus
276	QUEPET	Quercus_petraea	Quercus petraeaÊ(Matt.) Liebl.	Quercus
277	QUEPUB	Quercus_pubescens	Quercus pubescens Willd. (Q. Humilis)	Quercus
278	QUEPYR	Quercus_pyrenaica	Quercus pyrenaica Willd.	Quercus
279	QUEROB	Quercus_robur	Quercus robur L.	Quercus
280	QUERUB	Quercus_rubra	Quercus rubra L.	Quercus
281	QUESUB	Quercus_suber	Quercus suberÊL.	Quercus
282	RHAALA	Rhamnus_alaternus	Rhamnus alaternusÊL.	Rhamnus
283	RHAALP	Rhamnus_alpinus	Rhamnus alpinus L.	Rhamnus
426	RHACAT	Rhamnus_catharticus	Rhamnus catharticus?L.	Rhamnus
284	RHAGLA	Rhamnus_glandulosa	Rhamnus glandulosa Aiton	Rhamnus
428	RHUTYP	Rhus_typhina	Rhus typhina?L.	Rhus
296	ROBPSE	Robinia_pseudacacia	Robinia pseudacacia L.	Robinia
314	SAL	Salix	Salix spp.	Salix
305	SALALB	Salix_alba	Salix albaÊL.	Salix
306	SALATR	Salix_atrocinerea	Salix atrocinerea Brot.	Salix
307	SALBAB	Salix_babylonica	Salix babylonica L.	Salix
308	SALCAN	Salix_canariensis	Salix canariensis Chr.Sm. ex Link	Salix
309	SALCANT	Salix_cantabrica	Salix cantabrica Rech.f.	Salix
310	SALCAP	Salix_caprea	Salix capreaÊL.	Salix
462	SALCIN	Salix_cinerea	Salix cinereaÊL.	Salix
501	SALDAP	Salix_daphnoides	Salix daphnoides Vill.	salix
311	SALELA	Salix_elaeagnos	Salix elaeagnos Scop.	Salix
312	SALFRA	Salix_fragilis	Salix fragilisÊL.	Salix
313	SALPUR	Salix_purpurea	Salix purpurea L.	Salix
465	SALVIM	Salix_viminalis	Salix viminalisÊL.	Salix
315	SAMNIG	Sambucus_nigra	Sambucus nigra L.	Sambucus
317	SAMRAC	Sambucus_racemosa	Sambucus racemosa L.	Sambucus
466	SEQSEM	Sequoia_sempervirens	Sequoia sempervirensÊ(D.Don) Endl.	Sequoia
323	SOPJAP	Sophora_japonica	Sophora japonica L.	Sophora
329	SOR	Sorbus	Sorbus spp.	Sorbus
324	SORARI	Sorbus_aria	Sorbus aria (L.) Crantz	Sorbus
325	SORAUC	Sorbus_aucuparia	Sorbus aucuparia L.	Sorbus
327	SORDOM	Sorbus_domestica	Sorbus domestica L.	Sorbus
495	SORINT	Sorbus_intermedia	Sorbus intermediaÊ(Ehrh.) Pers.	Sorbus
328	SORLAT	Sorbus_latifolia	Sorbus latifoliaÊ(Lam.) Pers.	Sorbus
497	SORMOU	Sorbus_mougeotii	Sorbus mougeotiiÊSoy.-Will. & Godr.	Sorbus
330	SORTOR	Sorbus_torminalis	Sorbus torminalis (L.) Crantz	Sorbus
335	TAM	Tamarix	Tamarix spp.	Tamarix
483	TAMAFR	Tamarix_africana	Tamarix africanaÊPoir.	Tamarix
502	TAMGAL	Tamarix_gallica	Tamarix gallica L.	Tamarix
336	TAXBAC	Taxus_baccata	Taxus baccata L.	Taxus
434	TAXDIS	Taxodium_distichum	Taxodium distichum?(L.) Rich.	Taxodium
339	THU	Thuja	Thuja spp.	Thuja
503	THUPLI	Thuja_plicata	Thuja plicata D.Don	Thuja
348	TIL	Tilia	Tilia spp.	Tilia
346	TILCOR	Tilia_cordata	Tilia cordataÊMill.	Tilia
347	TILPLA	Tilia_platyphyllos	Tilia platyphyllos Scop.	Tilia
437	TILTOM	Tilia_tomentosa	Tilia tomentosa?Moench	Tilia
522	TILVUL	Tilia_x_vulgaris	Tilia x vulgaris Hayne	Tilia
349	TSU	Tsuga	Tsuga spp.	Tsuga
468	TSUHET	Tsuga_heterophylla	Tsuga heterophyllaÊ(Raf.) Sarg.	Tsuga
353	ULM	Ulmus	Ulmus spp.	Ulmus
354	ULMGLA	Ulmus_glabra	Ulmus glabraÊHuds.	Ulmus
439	ULMLAE	Ulmus_laevis	Ulmus laevis?Pall.	Ulmus
355	ULMMIN	Ulmus_minor	Ulmus minorÊMill.	Ulmus
356	ULMPUM	Ulmus_pumila	Ulmus pumila L.	Ulmus
362	VISMOC	Visnea_mocanera	Visnea mocanera L.f.	Visnea
